site_id,country,n_pares,mediana_ratio,pct_falla_aa,tiene_fallo_critico,axe_color_contrast_violations,axe_color_contrast_passes
U0338,Colombia,182,9.944477721246384,8.791208791208792,True,41,109
U0339,Mexico,3,21.0,0.0,False,0,6
U0340,Costa Rica,71,14.548198465495398,38.028169014084504,True,0,90
U0341,Costa Rica,367,14.538940141825268,23.978201634877383,True,14,165
U0343,Chile,409,20.77180447661033,20.78239608801956,True,14,186
U0344,Mexico,585,17.71676507806213,2.735042735042735,True,43,362
U0345,Chile,63,13.17472974456906,11.11111111111111,True,14,89
U0346,Dominican Republic,190,10.584235021481147,5.7894736842105265,True,30,76
U0347,Chile,316,16.721564973557335,7.59493670886076,True,40,587
U0348,Colombia,279,4.406784020953281,50.89605734767025,True,26,257
U0350,Ecuador,138,15.109556788489291,27.536231884057973,True,21,154
U0352,Colombia,497,11.549224285085952,9.859154929577464,True,24,215
U0356,Peru,70,11.89567811723854,1.4285714285714286,True,2,77
U0359,Colombia,189,9.1248919992535,15.873015873015872,True,46,192
U0360,Ecuador,229,7.64063093610431,44.10480349344978,True,65,183
U0361,Ecuador,87,21.0,16.091954022988507,True,14,63
U0363,Argentina,285,9.739769120526203,21.403508771929825,True,1,216
U0364,Ecuador,58,15.484823499315564,5.172413793103448,True,2,86
U0367,Ecuador,158,16.395640339139426,2.5316455696202533,True,16,159
U0369,Argentina,31,10.368377760269818,22.58064516129032,True,5,42
U0371,Chile,199,4.900409267024044,29.64824120603015,True,87,264
U0372,Ecuador,67,21.0,8.955223880597014,True,17,86
U0373,Peru,9,21.0,0.0,False,0,14
U0374,Argentina,131,4.758842787868666,38.93129770992366,True,26,108
U0378,Ecuador,79,10.72836813609921,0.0,False,22,118
U0379,Chile,93,10.481460365486749,21.50537634408602,True,22,103
U0380,Costa Rica,115,4.23268787072339,59.130434782608695,True,10,91
U0382,Peru,210,13.965206223587098,28.095238095238095,True,18,165
U0383,Brazil,125,5.74183648145415,24.0,True,35,159
U0386,Brazil,95,18.883060964595,10.526315789473683,True,10,115
U0388,Colombia,123,10.592443195544597,8.130081300813007,True,3,89
U0389,Argentina,223,6.092406005209617,10.31390134529148,True,39,57
U0400,Argentina,188,9.17694702289104,39.8936170212766,True,65,207
U0408,Argentina,54,3.846280851598797,46.2962962962963,True,21,45
U0409,Brazil,251,11.13319746233622,1.593625498007968,True,35,240
U0410,Chile,291,8.649993007876004,8.24742268041237,True,4,212
U0412,Ecuador,84,1.082034585046855,58.333333333333336,True,18,88
U0415,Ecuador,275,16.05765566065484,26.90909090909091,True,4,261
U0416,Mexico,149,10.861612414754726,8.724832214765101,True,6,74
U0417,Mexico,75,12.63465434445799,18.666666666666668,True,15,43
U0418,Argentina,111,4.277958613036418,56.75675675675676,True,29,115
U0422,Colombia,345,5.473784163745514,47.2463768115942,True,0,0
U0423,Chile,184,8.185829501393394,4.3478260869565215,True,8,178
U0424,Ecuador,333,15.426285095510265,0.0,False,1,132
U0426,Brazil,108,17.373383051651988,20.37037037037037,True,15,197
U0429,Brazil,179,7.827211989167284,12.290502793296088,True,9,311
U0431,Chile,214,11.48626307901009,12.149532710280374,True,31,298
U0432,Costa Rica,14,17.959262915366374,7.142857142857142,True,0,13
U0433,Chile,152,4.7943562630210845,46.71052631578947,True,41,109
U0435,Mexico,222,14.36900453354233,9.00900900900901,True,1,21
U0437,Brazil,141,9.604851104319373,14.184397163120568,True,45,176
U0438,Ecuador,125,21.0,12.8,True,10,149
U0439,Costa Rica,140,12.701957977505757,33.57142857142857,True,38,135
U0440,Peru,20,18.883060964595,0.0,False,1,38
U0441,Chile,115,15.886240673170706,41.73913043478261,True,0,149
U0442,Brazil,93,9.753044718366992,4.301075268817205,True,10,155
